"Dyad","DLMean","DLsd","DLMax","Division","DL"
"140-615",0.70703125,0.234137107529504,1,"OUT-IN-NA","Inside-Outside"
"142-263",0.4953125,0.0564144675365805,0.609375,"No DL","RS"
"151-962",0.490885416666667,0.062993410161158,0.578125,"No DL","RS"
"152-727",0.638020833333333,0.353002535837876,0.984375,"No DL","RS"
"216-713",0.0796875,0.0885190889686632,0.234375,"No DL","All-All"
"251-716",0.836647727272727,0.252347943478686,1,"BOTTOM-RS-TOP-NA","Top-Bottom"
"261-970",0.657670454545455,0.25004227185908,1,"RS-NOTHING-ALL-NA","Top-Bottom"
"269-653",0.569602272727273,0.179564675460293,0.796875,"No DL","RS"
"277-491",0.933894230769231,0.192957436019928,1,"TOP-RS-BOTTOM-NA","Top-Bottom"
"303-869",0.859375,0.0761201079435213,0.953125,"NA","Mix"
"313-199",0.2078125,0.222598893235651,0.59375,"No DL","Nothing-Nothing"
"331-863",0.916666666666667,0.226068066814695,1,"BOTTOM-TOP-NA","Top-Bottom"
"352-425",0.946875,0.154347390606966,1,"ALL-RS-NA","All-Nothing"
"354-344",0.773848684210526,0.210596629049804,1,"RS-NA","Top-Bottom"
"356-137",0.994318181818182,0.0102804952337464,1,"NOTHING-ALL-NA","All-Nothing"
"359-904",0.678977272727273,0.193043503132666,0.984375,"NA","All-Nothing"
"379-897",0.447115384615385,0.0761727225051472,0.578125,"No DL","RS"
"416-710",0.964285714285714,0.0712682145101931,1,"ALL-NOTHING-NA","Left-Right"
"419-723",0.984375,0.0495697211820333,1,"LEFT-RIGHT-NA","Left-Right"
"435-261",0.868566176470588,0.258900443446425,1,"RIGHT-RS-LEFT-NA","All-Nothing"
"444-475",0.506009615384615,0.122719583416202,0.671875,"No DL","RS"
"462-640",0.776785714285714,0.34292981758424,1,"RS-NOTHING-ALL-NA","Left-Right"
"469-569",0.9375,0.174598356660791,1,"LEFT-RS-RIGHT-NA","All-Nothing"
"475-186",0.15234375,0.227794858638826,0.625,"No DL","Nothing-Nothing"
"483-710",0.380681818181818,0.220894329156906,0.828125,"No DL","RS"
"487-811",0.704861111111111,0.31213768679202,1,"ALL-RS-NA","All-Nothing"
"505-833",0.6484375,0.358480006828906,0.984375,"No DL","RS"
"538-623",0.44625,0.37894081540741,0.953125,"No DL","RS"
"546-111",0.9951171875,0.0108234986247442,1,"TOP-BOTTOM-NA","Top-Bottom"
"588-564",0.963541666666667,0.0506133127500684,1,"RS-TOP-NA","Top-Bottom"
"590-286",0.608072916666667,0.127764659866054,0.8125,"No DL","RS"
"598-684",0.511160714285714,0.0869808973912606,0.65625,"No DL","RS"
"618-522",0.496875,0.0664688156075905,0.609375,"No DL","RS"
"636-625",0.541360294117647,0.121633304493597,0.984375,"No DL","RS"
"637-838",0.891544117647059,0.172066060149172,1,"RS-LEFT-RIGHT-NA","Left-Right"
"648-175",0.903125,0.179489683476123,1,"RS-RIGHT-NA","Left-Right"
"656-979",0.79375,0.226348299378588,0.96875,"NA","Left-Right"
"687-660",0.354910714285714,0.1921141902702,0.609375,"No DL","RS"
"711-459",0.453125,0.199566445837841,0.796875,"No DL","RS"
"768-541",0.782670454545455,0.198283011368606,1,"BOTTOM-RS-TOP-NA","Top-Bottom"
"825-534",0.926215277777778,0.162277109806231,1,"BOTTOM-RS-NA","Top-Bottom"
"880-349",0.0476973684210526,0.0292762158963885,0.15625,"No DL","Nothing-Nothing"
"938-219",0.698863636363636,0.36679331736325,1,"ALL-RS-NOTHING-NA","All-Nothing"
"947-704",0.696428571428571,0.213284422096399,1,"ALL-RS-LEFT-NA","Left-Right"
"948-444",1,0,1,"LEFT-RIGHT-NA","Left-Right"
