Dyad;DLMean;DLsd;DLMax;Division;DL;;;0,84;0,11
216-713;0,05387931;0,080430479;0.28125;No DL;All-All;;;;
352-425;0,957519531;0,130296659;1;1-NA;All-Nothing;;;;
356-137;0,959490741;0,137377952;1;1-NA;All-Nothing;;;;
416-710;0,963541667;0,070008844;1;0.367879441171442-1-NA;All-Nothing;;;;
462-640;0,807128906;0,315378837;1;1-NA;All-Nothing;;;;
487-811;0,704133065;0,298211656;1;1-0.135335283236613-0.0207962344190998-0.0183156388887342-NA;All-Nothing;;;;
505-833;0,737847222;0,311742399;0.984375;0.042329219623205-0.00673794699908547-NA;All-Nothing;;;;
938-219;0,763671875;0,31499379;1;1-0.0143695960904391-0.243116734434214-0.176921206317764-NA;All-Nothing;;;;
140-615;0,710648148;0,205026494;1;1-NA;Inside-Outside;;;;
419-723;0,948084677;0,167111577;1;1-NA;Left-Right;;;;
435-261;0,879882813;0,263359488;1;0.367879441171442-1-NA;Left-Right;;;;
469-569;0,935132576;0,182880646;1;1-NA;Left-Right;;;;
637-838;0,914299242;0,151966339;1;1-0.176921206317764-0.367879441171442-NA;Left-Right;;;;
648-175;0,935267857;0,143607308;1;1-0.135335283236613-NA;Left-Right;;;;
656-979;0,725115741;0,235003452;0.96875;NA;Left-Right;;;;
947-704;0,732758621;0,213251092;1;0.0497870683678639-0.0591057465619562-1-0.0362750612995958-0.0709520266668456-0.042329219623205-0.176921206317764-0.243116734434214-NA;Left-Right;;;;
948-444;0,938701923;0,1663364;1;1-0.176921206317764-NA;Left-Right;;;;
303-869;0,822916667;0,095687717;0.953125;NA;Mix;;;;
313-199;0,19921875;0,257462185;0.921875;No DL;Nothing-Nothing;;;;
475-186;0,145833333;0,202198001;0.625;No DL;Nothing-Nothing;;;;
880-349;0,040625;0,024147606;0.15625;No DL;Nothing-Nothing;;;;
142-263;0,494357639;0,059008177;0.625;No DL;RS;;;;
151-962;0,502790179;0,064327483;0.609375;No DL;RS;;;;
261-970;0,59375;0,252818063;1;No DL;RS;;;;
269-653;0,524305556;0,218426873;0.96875;No DL;RS;;;;
359-904;0,63125;0,227722335;1;No DL;RS;;;;
379-897;0,4725;0,077101717;0.671875;No DL;RS;;;;
444-475;0,525111607;0,152298866;0.78125;No DL;RS;;;;
483-710;0,466056034;0,201975448;0.828125;No DL;RS;;;;
538-623;0,448551829;0,396506553;0.953125;No DL;RS;;;;
590-286;0,637695313;0,104496316;0.8125;No DL;RS;;;;
598-684;0,469401042;0,156680203;0.921875;No DL;RS;;;;
618-522;0,511314655;0,099244728;0.859375;No DL;RS;;;;
636-625;0,513257576;0,103363013;0.984375;No DL;RS;;;;
687-660;0,373325893;0,190801394;0.6875;No DL;RS;;;;
711-459;0,458854167;0,142480307;0.796875;No DL;RS;;;;
152-727;0,688038793;0,311249768;0.984375;0.0114228909934669-0.367879441171442-NA;Top-Bottom;;;;
251-716;0,894396552;0,200724051;1;0.367879441171442-1-NA;Top-Bottom;;;;
277-491;0,932650862;0,171568379;1;1-0.367879441171442-NA;Top-Bottom;;;;
331-863;0,940020161;0,171354782;1;1-NA;Top-Bottom;;;;
354-344;0,733940972;0,227850383;1;0.106877925660386-0.135335283236613-0.0207962344190998-0.0497870683678639-0.0102285167990937-0.0863376296603621-0.0183156388887342-0.367879441171442-0.176921206317764-0.0362750612995958-NA;Top-Bottom;;;;
546-111;0,989919355;0,025790644;1;1-NA;Top-Bottom;;;;
588-564;0,957175926;0,094590629;1;0.135335283236613-1-0.176921206317764-NA;Top-Bottom;;;;
768-541;0,79224537;0,204236113;1;1-0.0237147660023716-0.367879441171442-NA;Top-Bottom;;;;
825-534;0,913352273;0,204593101;1;1-0.367879441171442-NA;Top-Bottom;;;;
